iso,period,index_buy,index_sell,index_2021_buy,index_2021_sell,index_direct_buy,index_direct_sell,tot_net,tot_net_direct,tot_net_2021,buy_stages,sell_stages
CZE,202301,140.49001149267903,140.15872976339458,117.19931041271222,88.70210999352574,142.05294318438985,141.32301257528496,99.76419552837625,99.48615594105824,75.68483951071482,chips,downstream+upstream
CZE,202302,138.13257852284414,139.99316115369297,115.23269716047231,88.59732675915983,139.72996151582012,141.58218952385684,101.34695424551212,101.32557683974385,76.8855793037455,chips,downstream+upstream
CZE,202303,138.954451019127,133.6797224243571,115.91831807250807,84.60174733608493,141.03584787554055,137.4776337290108,96.20398730945018,97.47708529418013,72.98393277511641,chips,downstream+upstream
CZE,202304,136.86946101572448,129.27130764216858,114.17898167399902,81.81179844337672,139.6259125896994,134.4627245191408,94.44861306739348,96.30212761027319,71.65224040705121,chips,downstream+upstream
CZE,202305,138.57863069184128,130.59678607474228,115.60480195325528,82.6506526047884,141.69591618565494,135.9553784848262,94.24020530636624,95.94869220273979,71.4941345068072,chips,downstream+upstream
CZE,202306,139.03844836591585,131.6620331286818,115.9883901795252,83.32481440340295,143.208425673425,136.428693065703,94.69469393255807,95.26582840650546,71.8389265291414,chips,downstream+upstream
CZE,202307,139.78128184714484,128.89767268640844,116.60807531462142,81.5753364762969,144.6614003603608,133.7621492659062,92.21382933614963,92.46568119256149,69.95685012054068,chips,downstream+upstream
CZE,202308,138.44681076115472,129.13143746066675,115.4948353811768,81.72327894662233,145.7151156183296,134.06238186978788,93.27151470714725,92.00307140471024,70.75924969017402,chips,downstream+upstream
CZE,202309,141.21478688011018,128.26446000921138,117.80393115911643,81.1745958257727,150.10917553206582,132.6789048059202,90.82934078150507,88.38827096054351,68.90652546741508,chips,downstream+upstream
CZE,202310,142.47834270286955,126.16505073927027,118.85801229642976,79.84594485770162,152.04858129045485,129.93276963648432,88.55033568321346,85.4547727665257,67.177587202592,chips,downstream+upstream
CZE,202311,144.99512786076718,126.66899447783004,120.95756002817667,80.16487520905211,155.77148608874396,130.24261022585935,87.36086263496041,83.61132932355756,66.27520858586927,chips,downstream+upstream
CZE,202312,148.97493696560457,126.55731468599498,124.2775888167392,80.0941965349793,161.58532899722914,130.11641661962656,84.9520847357127,80.5248950675824,64.44781983426384,chips,downstream+upstream
CZE,202401,151.19157975179033,126.776149161246,126.12675234952046,80.23269008245123,164.51910860949857,131.1357377034249,83.85132913444856,79.70851459856118,63.61274558161275,chips,downstream+upstream
CZE,202402,157.800589504533,125.81634972613627,131.6401079062797,79.62526280904095,172.09841956274016,130.32977737335156,79.73122921858416,75.72979328019835,60.48708412312274,chips,downstream+upstream
CZE,202403,165.7264790426843,132.98785324335316,138.2520284151414,84.16388480480954,181.04695170541035,137.21701746945234,80.24538626027346,75.79084661570239,60.877142830833066,chips,downstream+upstream
CZE,202404,166.48307642251407,141.00640967109388,138.8831956435727,89.23858029786552,182.51687339027282,145.4056801234415,84.6971432178707,79.66697950853177,64.25441169058767,chips,downstream+upstream
CZE,202405,161.19903867535618,138.92717502669254,134.47515571545355,87.92269722414345,177.46979761867476,143.87876434336374,86.18362501930446,81.07225357438718,65.38211222464462,chips,downstream+upstream
CZE,202406,161.00600179837696,139.50460443657838,134.31412085877005,88.2881343761186,177.18339461828822,144.84187576166343,86.64559263528317,81.74686802547205,65.73257808756587,chips,downstream+upstream
CZE,202407,169.2223381991327,143.70548894615945,141.1683373974143,90.94674380036211,185.91560177671568,149.21225177327685,84.92111057882545,80.25805814429738,64.42432168364401,chips,downstream+upstream
CZE,202408,179.59340602401645,150.23715776198353,149.8200698900348,95.08043427201923,197.36323002560218,156.31991895134686,83.65405005008525,79.2041754338277,63.46308231053859,chips,downstream+upstream
CZE,202409,184.9735866169394,156.02726223144919,154.30831392024677,98.74481168462535,202.61177880327867,163.02648289799433,84.35110389818252,80.46249031566975,63.991893356867955,chips,downstream+upstream
CZE,202410,190.90553911753008,157.86243744055412,159.25685606273512,99.90623711656396,209.24425631738478,165.66137500518514,82.69138662517636,79.17128905746762,62.732769933125184,chips,downstream+upstream
CZE,202411,175.58988367042247,159.38126233056678,146.4802590801571,100.86745425003996,192.20843156644182,167.3886112623797,90.76904602871153,87.08702833596429,68.86078361920642,chips,downstream+upstream
CZE,202412,177.42769631226764,162.25656009967238,148.01339564982166,102.68714096816228,193.50801196482792,170.55926711465463,91.44939796439982,88.14067458129618,69.37692397187159,chips,downstream+upstream
CZE,202501,176.78466550343737,162.64907983188849,147.47696771043775,102.9355545241387,192.72712673589174,170.9501565517361,92.00406571956094,88.7006201187245,69.79771561770006,chips,downstream+upstream
CZE,202502,168.5142897012714,165.07349707024844,140.5776705250408,104.4698929482257,182.75083471562692,173.59513194106782,97.95815972810229,94.99006240447217,74.31471339512395,chips,downstream+upstream
CZE,202503,168.76487147645653,165.53567027844778,140.78671037735242,104.76238802733327,182.95201062473433,173.9686410782477,98.08656791561079,95.08976724780958,74.41212863525065,chips,downstream+upstream
CZE,202504,173.37712580675327,169.15798664299624,144.63433642005506,107.05483962946985,187.3823975459324,176.99715469875892,97.56649607373252,94.4577276290705,74.01758273951992,chips,downstream+upstream
CZE,202505,183.1774379486286,175.08242483812714,152.80993419140958,110.8042326877651,193.7973225126315,182.98308435993565,95.58078047102522,94.41982065980763,72.51114482450585,chips,downstream+upstream
CZE,202506,189.27564751359387,178.43834134574573,157.89717098620034,112.92808808864085,200.0429987597516,186.726997365182,94.27432619557156,93.34343042389506,71.52001988592333,chips,downstream+upstream
CZE,202507,189.05742618912714,182.59123039730193,157.7151268075921,115.5563226771242,197.83285218980902,191.75972939892915,96.57977159524184,96.93017477953912,73.26901674948375,chips,downstream+upstream
CZE,202508,194.83476589461011,180.33060633220867,162.53468815795804,114.12564386878726,202.59197067978624,189.1399555668767,92.55566146226334,93.36004528324986,70.21617672030426,chips,downstream+upstream
CZE,202509,196.63825093176047,181.69239743179057,164.03918801846723,114.98747919012068,204.54122060400218,190.84174249654959,92.3993152760718,93.30233873299545,70.09756667240732,chips,downstream+upstream
CZE,202510,192.5871512084553,187.20869608799694,160.65968730564086,118.478573401562,200.46858930399827,197.29381643168466,97.2072617063447,98.41632403194134,73.74505415049576,chips,downstream+upstream
CZE,202511,223.10059005353992,191.87869229800827,186.11455027396468,121.43406906129765,232.1325358785218,202.66409940542167,86.00546159557939,87.30533987337243,65.24695080666399,chips,downstream+upstream
CZE,202512,229.89571981981157,193.85068006368468,191.78317051472413,122.682078914071,239.55291514849492,204.99571929867213,84.32113491091596,85.57429542095058,63.96915776541097,chips,downstream+upstream
CZE,202601,234.65269712073956,199.0678181682744,195.75152707896814,125.98384369737028,244.40470686390904,211.05466083265628,84.83508632583282,86.35458111294767,64.3590604769827,chips,downstream+upstream
CZE,202602,247.07002495612346,206.6630045990636,206.11028670901774,130.79060145939124,257.28854868786317,219.83016252169762,83.64551897210694,85.44109858087417,63.45661031661108,chips,downstream+upstream
CZE,202603,252.40439979914177,213.68701488853915,210.5603187535894,135.23587956903518,263.14274344907835,227.51989197764266,84.66057448229385,86.46253702286523,64.22666928391978,chips,downstream+upstream
CZE,202604,257.87791619287526,222.1981321681759,215.12642519818652,140.62230153776017,269.3130515630808,238.11139084760913,86.16407928548124,88.41435254088925,65.36728410199305,chips,downstream+upstream
CZE,202605,263.3829487122809,230.80521772881917,219.71882296525138,146.06945885298907,280.16972085162325,248.4983059657524,87.63104022384928,88.69563249390397,66.48017538128265,chips,downstream+upstream
CZE,202606,265.64346704168497,234.24466726422528,221.60458827031906,148.2461797145565,282.6913901596008,252.97524633998017,88.18009713277362,89.4881326938031,66.89671042989504,chips,downstream+upstream
DEU,201801,100.80278075094762,101.4562749220119,90.54901480806947,75.11020711058775,100.80278075094762,101.4562749220119,100.64828982513774,100.64828982513774,82.94977838223166,downstream,chips+upstream
DEU,201802,102.05183637186923,102.27366806319307,91.67101516433316,75.71534038767766,102.05322321749154,102.27342581870292,100.2173715821394,100.21577231396417,82.59463501298343,downstream,chips+upstream
DEU,201803,102.75297296234862,103.25449181441229,92.30083139599698,76.44146477130684,102.75952811676189,103.25907446680395,100.4880820842502,100.48613141690808,82.8177423921038,downstream,chips+upstream
DEU,201804,104.58913195283618,103.65761697867933,93.95021434338224,76.73990678095939,104.60606551611697,103.66268127980067,99.10935777287365,99.09815532047618,81.68146003422596,downstream,chips+upstream
