iso,flow,stage,value_usd,coverage
JPN,X,2_wafers,76710411330.663,0.999830637246175
JPN,X,3_litho_optics,60531617039.685,1.0
JPN,X,4_equipment,298204829590.365,0.9994667121308182
JPN,X,5_chips,352959613328.018,0.9999878355807099
JPN,X,6_parts,11540216784.636002,1.0
JPN,X,7_baseboards,698703657.332,1.0
JPN,X,8_servers,1975782368.38,1.0
KOR,M,1_raw_materials,8395212515.0,0.9997840307202753
KOR,M,2_wafers,28133115746.0,1.0
KOR,M,3_litho_optics,36637986774.0,0.9999883348120999
KOR,M,4_equipment,188500753372.0,0.9999959678145238
KOR,M,5_chips,465865974293.0,0.9999306722216641
KOR,M,6_parts,54388946541.0,1.0
KOR,M,7_baseboards,6231593649.0,1.0
KOR,M,8_servers,21828322037.0,0.9999853422540012
KOR,X,1_raw_materials,4792217368.0,0.9997007483405123
KOR,X,2_wafers,18159764583.0,0.999999695976235
KOR,X,3_litho_optics,32153351720.0,0.9999862634538431
KOR,X,4_equipment,96501276084.0,0.9999985901015456
KOR,X,5_chips,1015815935673.0,0.9999992003167391
KOR,X,6_parts,162728321164.0,0.9999999792414745
KOR,X,7_baseboards,941734757.0,0.9997760027455374
KOR,X,8_servers,1538802282.0,0.9999999356642493
MEX,M,1_raw_materials,1006377870.0,0.9197523610092897
MEX,M,2_wafers,1121005923.0,0.9648570010276386
MEX,M,3_litho_optics,2633703682.0,0.13503974362443102
MEX,M,4_equipment,30019628003.0,0.44568573906588527
MEX,M,5_chips,266856484443.0,0.8571664645153432
MEX,M,6_parts,140121833763.0,0.07588846167247258
MEX,M,7_baseboards,16638565888.0,1.0
MEX,M,8_servers,32380117174.0,1.0
MEX,X,1_raw_materials,610817167.0,1.0
MEX,X,2_wafers,25007879.0,1.0
MEX,X,3_litho_optics,124109814.0,0.6780004762556489
MEX,X,4_equipment,27509638136.0,0.4743294974107325
MEX,X,5_chips,37726446418.0,0.9319931308776573
MEX,X,6_parts,25952131937.0,0.8264498807291186
MEX,X,7_baseboards,14486716525.0,0.9935410432144146
MEX,X,8_servers,278931405570.0,1.0
MYS,M,1_raw_materials,2065733329.0920002,0.9956965445603243
MYS,M,2_wafers,12041978280.05,0.9965360881651727
MYS,M,3_litho_optics,2683849224.484,0.9830649605945213
MYS,M,4_equipment,34145133975.409996,0.6877529292306729
MYS,M,5_chips,461992973604.9769,0.9998058069935462
MYS,M,6_parts,28213548710.79,0.9996441795990676
MYS,M,7_baseboards,6480448804.074999,0.9999015011882205
MYS,M,8_servers,26240288821.042,0.99782313510112
MYS,X,1_raw_materials,3599455848.1400003,0.9999721719206385
MYS,X,2_wafers,3962045680.085,0.9995172326519064
MYS,X,3_litho_optics,2325928989.293,0.9853838204831293
MYS,X,4_equipment,49738513432.481,0.7373237177793492
MYS,X,5_chips,728775863128.0999,0.9999966029900919
MYS,X,6_parts,26384814383.277,0.9991178120525739
MYS,X,7_baseboards,26540395604.454002,0.9999999998364757
MYS,X,8_servers,30944221055.677002,0.9979100737920131
NLD,M,1_raw_materials,1214000018.279,0.9998072627178939
NLD,M,2_wafers,4271728184.8710003,1.0
NLD,M,3_litho_optics,12963597764.694,0.9994074782455901
NLD,M,4_equipment,66992442767.728,0.9999626064961135
NLD,M,5_chips,105068590528.93399,0.9999999759063486
NLD,M,6_parts,34434195940.373,0.9999999998468092
NLD,M,7_baseboards,22120331628.683,1.0
NLD,M,8_servers,37244803160.421005,0.9999999997495489
NLD,X,1_raw_materials,1810362705.923,0.9997135681367587
NLD,X,2_wafers,5716100277.323,1.0
NLD,X,3_litho_optics,13662896638.956001,0.9969676285195723
NLD,X,4_equipment,199337872680.02902,0.9999517230427182
NLD,X,5_chips,86609530733.922,0.9999862919606084
NLD,X,6_parts,24793582245.388,1.0
NLD,X,7_baseboards,21716661940.743,0.9999999999479662
NLD,X,8_servers,31807244769.234,0.9999999995684004
PHL,M,1_raw_materials,288150308.69000006,0.9450038659613278
PHL,M,2_wafers,2083089461.0,0.9866212913454897
PHL,M,3_litho_optics,1423386599.52,0.9910501251000284
PHL,M,4_equipment,7937433980.69,0.7578077782660326
PHL,M,5_chips,140809704946.69998,0.3726169216141777
PHL,M,6_parts,19736433129.42,0.3707617640652702
PHL,M,7_baseboards,251819522.27,0.8549618525570877
PHL,M,8_servers,1745771303.96,0.9682536269932468
PHL,X,1_raw_materials,57488427.0,0.9989602776920649
PHL,X,2_wafers,8387406.0,0.9966226745193926
PHL,X,3_litho_optics,1065423475.0,0.9950658905840234
PHL,X,4_equipment,4215599766.0,0.7648794176349235
PHL,X,5_chips,207798703719.0,0.2882312356817826
PHL,X,6_parts,10034583455.0,0.4158300315815152
PHL,X,7_baseboards,220421471.0,0.9210812226182812
PHL,X,8_servers,19260759.0,0.9178094695022143
POL,M,1_raw_materials,1140712545.0,0.9986718073658075
POL,M,2_wafers,975120161.0,0.9999553644753326
POL,M,3_litho_optics,989203793.0,0.9999982915552771
POL,M,4_equipment,12968275429.0,0.9999999515741316
POL,M,5_chips,42725210767.0,0.9998371979008381
POL,M,6_parts,22525911312.0,1.0
POL,M,7_baseboards,8187844103.0,1.0
POL,M,8_servers,3325219723.0,1.0
POL,X,1_raw_materials,1178808573.0,0.9998856481000499
POL,X,2_wafers,332438836.0,0.9998901873185478
POL,X,3_litho_optics,411754442.0,0.9999958956119774
POL,X,4_equipment,12674788986.0,0.9999997573924108
POL,X,5_chips,7111103468.0,0.9999996187652153
POL,X,6_parts,4312099146.0,0.9999999930428316
POL,X,7_baseboards,2581830814.0,1.0
POL,X,8_servers,8189626769.0,1.0
SGP,M,1_raw_materials,2839761492.5950003,0.863096640360196
SGP,M,2_wafers,15228006922.965002,0.9499987182584135
SGP,M,3_litho_optics,6813973750.779,0.6662192549908216
SGP,M,4_equipment,83145258004.782,0.6096637206648343
SGP,M,5_chips,799855504309.721,0.9738912023010378
SGP,M,6_parts,59313002040.42868,0.9993201339432034
SGP,M,7_baseboards,16818282214.239376,0.8615756371497255
SGP,M,8_servers,53824883110.23416,1.0
SGP,X,1_raw_materials,1067997233.747,0.7475786705063109
SGP,X,2_wafers,10334588976.412,0.946359782748277
SGP,X,3_litho_optics,24861211070.863,0.8305666848385447
SGP,X,4_equipment,159388279567.02402,0.6264182306363933
SGP,X,5_chips,1010939167765.434,0.9774795623170816
SGP,X,6_parts,50604552407.05694,0.999859649224869
SGP,X,7_baseboards,24387105381.165394,0.684554145210709
SGP,X,8_servers,75793076666.09192,0.9999998004438447
SWE,M,1_raw_materials,774895931.26,0.9945089374542446
SWE,M,2_wafers,456373280.07800007,0.7579989019972336
SWE,M,3_litho_optics,663979942.576,0.5148998381044735
SWE,M,4_equipment,8739716114.791,0.9977620176406077
SWE,M,5_chips,10568445641.01,0.9578908010688816
SWE,M,6_parts,3550009238.0099998,1.0
SWE,M,7_baseboards,1560738038.1570005,1.0
SWE,M,8_servers,8690962520.623,1.0
SWE,X,1_raw_materials,399777990.473,0.992520630266658
SWE,X,2_wafers,178084875.42599997,0.6948467333679814
SWE,X,3_litho_optics,511325848.96,0.6286609799637696
SWE,X,4_equipment,12895473147.057001,0.9982782100142586
SWE,X,5_chips,4533149593.566,0.6072329562794347
SWE,X,6_parts,2066331327.8090003,1.0
SWE,X,7_baseboards,994910334.7959999,1.0
SWE,X,8_servers,2411679502.9639993,1.0
THA,M,1_raw_materials,735432864.1359999,0.9986041557672217
THA,M,2_wafers,6867457101.595,0.9980423010872719
THA,M,3_litho_optics,3363520064.319,0.9989367232391629
THA,M,4_equipment,11921909260.853,0.9913912219605622
THA,M,5_chips,168287064704.67398,0.9957799902126985
THA,M,6_parts,26841874328.22009,0.9952741245642033
THA,M,7_baseboards,2937092223.9305468,0.5388905541063764
THA,M,8_servers,9287449547.415169,0.6000125190968627
THA,X,1_raw_materials,191932489.64200002,0.9986142471110747
THA,X,2_wafers,416409729.274,0.995190407031335
THA,X,3_litho_optics,2250018673.7590003,0.9735552976235551
THA,X,4_equipment,11001841375.795,0.9971098925618076
THA,X,5_chips,82461951225.566,0.969923022356703
THA,X,6_parts,30548733129.934002,0.9897692676510558
THA,X,7_baseboards,1458898283.436813,0.7301233460866315
THA,X,8_servers,9330432623.477297,0.44759930651967045
TWN,M,1_raw_materials,7942920545.261595,0.9357057849603208
TWN,M,2_wafers,40810874790.33497,0.9999816297532929
TWN,M,3_litho_optics,29913900171.41874,0.9998827579096476
TWN,M,4_equipment,277337284508.6912,0.9999937590370102
TWN,M,5_chips,816300077028.6842,0.9999806100916213
TWN,M,6_parts,83027568665.712,0.9999959655479036
TWN,M,7_baseboards,42704452831.385704,0.9999844208190678
TWN,M,8_servers,11153563853.593641,0.9999940756195655
TWN,X,1_raw_materials,5255135649.432966,0.8188150563878667
TWN,X,2_wafers,15170541615.657549,0.9995901448098347
TWN,X,3_litho_optics,34258266625.487747,0.9995016874674469
TWN,X,4_equipment,54850202142.5229,0.9999767316100645
TWN,X,5_chips,1536620798016.834,0.9999923823221422
TWN,X,6_parts,119141667215.44347,0.999999264139751
TWN,X,7_baseboards,286979176233.0804,0.9999995767155719
TWN,X,8_servers,161903988711.55234,0.9999997192066017
USA,M,1_raw_materials,9430049440.0,0.8015235249922508
USA,M,2_wafers,24892200264.0,0.8757812112145074
USA,M,3_litho_optics,18438338187.0,0.3420253146482761
USA,M,4_equipment,212985291343.0,0.6690683804756712
USA,M,5_chips,536347228014.0,0.865330373803825
USA,M,6_parts,388100229533.0,0.007980450608665887
USA,M,7_baseboards,60605027507.0,0.910615082381172
USA,M,8_servers,576155045779.0,0.9259337474788537
USA,X,1_raw_materials,25434941401.0,0.9354972578023908
USA,X,2_wafers,22323909379.0,0.6345733233143314
USA,X,3_litho_optics,35012174661.0,0.3438022432924821
USA,X,4_equipment,303229711119.0,0.7095520577189196
USA,X,5_chips,524682138987.0,0.7748008386065385
USA,X,6_parts,190109558124.0,0.03870537139011461
USA,X,7_baseboards,32315692503.0,1.0
USA,X,8_servers,119251840465.0,1.0
VNM,M,1_raw_materials,3695644104.662906,0.8566386759857092
VNM,M,2_wafers,5032329679.789957,0.031234179970964365
VNM,M,3_litho_optics,20558437879.77764,0.4712089825010666
VNM,M,4_equipment,15131317950.208372,0.3077065225532126
VNM,M,5_chips,468413209744.5469,0.7683380429703708
VNM,M,6_parts,20567220731.411037,0.7298709705982754
VNM,M,7_baseboards,1891673189.1986418,0.2163024604734192
VNM,M,8_servers,3563021983.882845,0.7103364258374454
VNM,X,1_raw_materials,426564055.004933,0.3551262989961359
VNM,X,2_wafers,2743482810.943814,0.5662429048831193
VNM,X,3_litho_optics,3647758684.6298122,0.5010036826855542
VNM,X,4_equipment,7283588806.571575,0.38856944684752937
VNM,X,5_chips,115583884436.46335,0.760428962910743
VNM,X,6_parts,73596729672.66772,0.9225229059688911
VNM,X,7_baseboards,5679413072.829146,0.37687513397685335
VNM,X,8_servers,5740417251.387549,0.6797579212988621
BEL,M,ALL,62992889124.025,0.999931899479407
BEL,X,ALL,43920667959.688995,0.9999857243002641
CAN,M,ALL,95194187280.806,0.8183328154177024
CAN,X,ALL,37232371322.513,0.3776757316207895
CHE,M,ALL,38834927100.904,0.9782430984413427
