iso,period,exports,imports,net,exports_sa,exports_sa3m,imports_sa,imports_sa3m,net_sa,net_sa3m,exports_12m,imports_12m,net_12m
BEL,202503,520201100.2794436,1470836180.1771915,-950635079.8977479,469443159.2242257,445915165.15398145,1194748538.2925181,909745044.2456588,-725305379.0682924,-463829879.0916773,5834508371.486973,9147058088.30687,-3312549716.8198957
BEL,202504,462382623.46045315,555920562.0558524,-93537938.59539926,471816512.8858984,441082971.1394972,560188425.4149061,808106020.318117,-88371912.52900773,-367023049.1786198,5805201743.54086,9086260226.952755,-3281058483.411894
BEL,202505,467753913.4381532,799011928.1342711,-331258014.69611794,493307198.5824746,478188956.89753294,748976248.1806128,834637737.2960124,-255669049.5981382,-356448780.39847946,5798781025.592413,9171418830.247414,-3372637804.6550007
BEL,202506,495064712.77088434,1601983883.8686166,-1106919171.0977323,494724845.4030466,486616185.62380654,1385270367.3831754,898145013.6595649,-890545521.9801288,-411528828.0357583,5765027163.268829,10000768368.782204,-4235741205.5133758
BEL,202507,481802829.0309687,650844376.0943953,-169041547.06342655,512183314.44354784,500071786.143023,780318716.8379031,971521777.4672304,-268135402.3943553,-471449991.3242074,5733064978.379066,10193289350.370083,-4460224371.991015
BEL,202508,433088217.86188096,590025606.3308427,-156937388.46896178,509730209.80262303,505546123.21640587,791774600.9248166,985787895.0486317,-282044391.1221936,-480241771.8322258,5720763293.262151,10308050049.623222,-4587286756.361071
BEL,202509,619798147.9575129,1622064355.5499449,-1002266207.592432,539768088.1032461,520560537.44980574,1318700081.403886,963597799.722202,-778931993.30064,-443037262.2723962,5815324714.059874,11278323802.105362,-5462999088.045489
BEL,202510,543610028.8108779,736989606.0157773,-193379577.20489943,524739778.6947761,524746025.5335484,842288650.9186621,984254444.4157883,-317548872.22388595,-459508418.8822399,5863334307.179873,11415489920.36005,-5552155613.180177
BEL,202511,449074557.54357374,622529338.009211,-173454780.4656372,452633555.265927,505713807.3546498,830489852.2951113,997159528.2058865,-377856297.0291843,-491445720.8512367,5829316662.031589,11198075170.30865,-5368758508.277061
BEL,202512,564918054.1000224,1674663649.9643557,-1109745595.8643332,556165899.0400765,511179744.3335932,848584718.9695481,840454407.3944405,-292418819.9294716,-329274663.06084734,5912694512.011264,11626429428.05935,-5713734916.048083
BEL,202601,561136177.6670091,699142413.7498076,-138006236.08279848,551321238.1320437,520040230.81268245,863621652.4552877,847565407.906649,-312300414.323244,-327525177.09396654,5981771273.766153,11564277940.518557,-5582506666.752402
BEL,202602,570733369.4125663,766014066.1978265,-195280696.7852602,561101907.4324046,556196348.2015084,953245272.981623,888483881.4688196,-392143365.5492184,-332287533.2673112,6169563732.333346,11790025966.148094,-5620462233.814746
BEL,202603,625516392.1709282,1153347223.5780156,-527830831.4070873,573479798.3361915,561967647.96688,902983528.3960735,906616817.944328,-329503730.0598819,-344649169.977448,6274879024.224832,11472537009.548916,-5197657985.324086
BEL,202604,586456615.6589081,969497339.695722,-383040724.03681386,590519530.3138492,575033745.3608152,946300053.9452848,934176285.1076604,-355780523.63143563,-359142539.74684525,6398953016.4232855,11886113787.188787,-5487160770.7655
CAN,201701,258712616.6910173,633042801.7189082,-374330185.0278909,280777889.5382504,,637509663.7738513,,-356731774.2356009,,,,
CAN,201702,265083858.036378,611830419.9236435,-346746561.88726544,279043856.3703878,,654504300.3183635,,-375460443.94797575,,,,
CAN,201703,288057998.1027571,732513362.9882045,-444455364.8854474,268748528.3288974,276190091.4125119,647298043.2982402,646437335.7968184,-378549514.96934277,-370247244.3843065,,,
CAN,201704,253994317.07021412,630409420.8054227,-376415103.7352085,271918911.6268691,273237098.7753848,659372783.1405424,653725042.2523822,-387453871.5136733,-380487943.4769974,,,
